Tobias	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
s1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
s2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1
s3	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0
s4	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
s5	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0
s6	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1
s7	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0
s8	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0
s9	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1
s10	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0
s11	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0
s12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
end
